data_hora,autoriza_coleta,faixa_etaria,genero,escolaridade,area_conhecimento,regiao_df,trajeto,habilidade_tecnologia,frequencia_moovit,motivo_locomocao,tipo_transporte_moovit,tipo_informacao_importante_moovit,teve_problema_cronometragem_moovit,problema_precisao_grade_horaria_moovit,aplicacao_atende_necessidades,recomendou_moovit,nielsen_1_visibilidade_status,O aplicativo Moovit exibe informações claras sobre a disponibilidade e o tempo de espera dos meios de transporte público?,nielsen_7_eficiencia_eficacia,nielsen_2_correspondencia_mundo_real,nielsen_3_controle_liberdade,nielsen_7_eficiencia_flexibilidade,nielsen_4_consistencia_padronizacao,nielsen_6_reconhecimento,nielsen_5_prevencao,nielsen_6_reconhecimento,O Moovit fornece opções para personalizar as configurações e as rotas com base nas preferências do usuário?,Você consegue encontrar rotas que você utiliza com mais frequência com maior facilidade?,Como você classificaria o visual do Moovit?,"Quão rápido você consegue reconhecer, entender e resolver um problema no aplicativo?",Quão rápido você consegue encontrar uma ajuda ou documentação do aplicativo?,Você já perdeu o horário ou se atrasou por não entender as informações do aplicativo?,
14/06/2023 17:54:38,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Jardim Botânico,"Jb- pp, pp-jb",5,Nunca,,,,,,,,,,,,,,,,,,,,,,,,
14/06/2023 17:57:18,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,,1,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Não,Talvez,Sim,Talvez,Sim,Não,Talvez,Sim,Não,Não,Não,4,3,4,2,Sim,
14/06/2023 17:57:21,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,"Taguatinga <-> Gama, Taguatinga <-> Ceilândia",4,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Não,Talvez,Talvez,Sim,Não,Sim,Talvez,Não,Não,Não,Sim,3,4,3,2,Sim,
14/06/2023 17:58:20,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,"Linguística, Letras e Artes",Plano Piloto,"Trajetos na asa norte, como por exemplo, onibus que passam na unb,l2 e etc",4,Semanalmente,Estudo,Ônibus,Quais onibus pegar,Sim,Não,Sim,Sim,Talvez,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,4,5,4,4,Sim,
14/06/2023 17:58:26,Concordo.,Entre 15 e 18 anos,Masculino,Médio Incompleto/Completo,,Gama,Gama ao plano,4,Poucas vezes,Trabalho,Ônibus,Rotas mais rápidas,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,5,5,5,3,Não,
14/06/2023 17:58:52,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Planaltina,"Planaltina <-> Plano Piloto, Plano Piloto <-> Gama",3,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Não,Talvez,Não,Sim,Sim,Não,Talvez,Não,Não,Sim,Talvez,Não,Não,Sim,5,4,4,3,Sim,
14/06/2023 18:00:16,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Águas Claras,Águas Claras - Gama,4,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Talvez,Talvez,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,3,2,3,2,Não,
14/06/2023 18:00:21,Concordo.,Mais de 30 anos,Feminino,Superior Completo,Engenharias,Taguatinga,"Taguatinga -Gama, Gama-Taguatinga",1,Semanalmente,Estudo,Ônibus,Tempo de espera,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Não,Talvez,5,3,4,4,Não,
14/06/2023 18:00:25,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Cruzeiro,Cruzeiro <-> w3 Sul <-> Gama,2,Diariamente,Estudo,Ônibus,Rotas mais rápidas,Sim,Sim,Talvez,Sim,Não,Não,Talvez,Talvez,Não,Sim,Talvez,Não,Não,Sim,Sim,3,1,2,2,Sim,
14/06/2023 18:01:26,Concordo.,Entre 19 e 22 anos,Não binário ,Superior Incompleto,"Linguística, Letras e Artes",Guará,"Guará <-> Universidade de Brasília, Guará <-> Plano Piloto, Guará <-> Pistão Sul ",4,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,3,3,2,3,Sim,
14/06/2023 18:01:40,Concordo.,Entre 23 e 26 anos,Masculino,Superior Incompleto,Engenharias,São Sebastião,São Sebastião <-> Plano Piloto <-> Gama,5,Semanalmente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Não,Sim,Sim,Talvez,Talvez,Talvez,Não,Não,Não,Talvez,Talvez,Não,Talvez,5,3,4,3,Sim,
14/06/2023 18:02:44,Concordo.,Entre 19 e 22 anos,Feminino,Superior Incompleto,Engenharias,Gama,Gama <-> Asa Norte,5,Diariamente,Trabalho,Ônibus,Horários de transporte,Não,Sim,Sim,Sim,Sim,Sim,Não,Talvez,Não,Não,Sim,Sim,Não,Não,Não,5,5,5,3,Não,
14/06/2023 18:03:13,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Ciências Exatas e da Terra,Ceilândia,"Ceilândia -> Gama, Gama -> Ceilândia",5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,4,4,4,2,Não,
14/06/2023 18:03:28,Concordo.,Entre 23 e 26 anos,Masculino,Superior Incompleto,Engenharias,Gama,"Gama -> plano piloto, Gama -> UnB FGA",5,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Talvez,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,5,4,3,3,Não,
14/06/2023 18:05:51,Concordo.,Entre 19 e 22 anos,Feminino,Médio Incompleto/Completo,,Vicente Pires,Vicente Pires > Ceilândia; Ceilândia > Guará,2,Diariamente,Trabalho,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Sim,Talvez,Não,Sim,Não,Não,Talvez,Sim,Não,Não,Não,3,3,5,5,Sim,.
14/06/2023 18:05:56,Concordo.,Entre 19 e 22 anos,Feminino,Médio Incompleto/Completo,,Sobradinho,"Sobradinho-> UnB UnB -> rodoviária -> sobradinho Sobradinho -> plano piloto",1,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,2,1,1,1,Sim,
14/06/2023 18:06:45,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,Taguatinga <-> Gama,4,Diariamente,Estudo,Ônibus,Horários de transporte,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Talvez,Não,Não,Sim,5,5,4,3,Não,
14/06/2023 18:07:34,Concordo.,Entre 15 e 18 anos,Feminino,Superior Incompleto,Ciências Humanas,Brazlândia,"Brazlândia → Taguatinga, Taguatinga → Plano Piloto, Brazlândia → Plano Piloto ",4,Diariamente,Estudo,Ônibus,Rotas mais rápidas,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,5,4,5,3,Não,
14/06/2023 18:09:50,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,Taguatinga <-> gama ,5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,5,4,4,3,Não,
14/06/2023 18:11:08,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Taguatinga,Taguatinga Norte <-> Gama (UnB),5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Talvez,Sim,Sim,Sim,Talvez,Sim,Não,Não,Sim,Não,Não,Não,Não,3,4,4,3,Não,
14/06/2023 18:14:25,Concordo.,Entre 15 e 18 anos,Masculino,Superior Incompleto,Engenharias,Guará,Guará -> Gama,5,Semanalmente,Estudo,Ônibus,Rotas mais rápidas,Sim,Sim,Talvez,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Talvez,Não,5,4,4,3,Sim,
14/06/2023 18:16:20,Concordo.,Entre 15 e 18 anos,Feminino,Médio Incompleto/Completo,,Águas Claras,"Águas Claras > Plano Piloto, Plano Piloto > Águas Claras",2,Diariamente,Estudo,Ônibus,Tempo de espera,Não,Sim,Talvez,Sim,Sim,Talvez,Sim,Sim,Não,Sim,Talvez,Sim,Não,Não,Sim,4,3,2,3,Sim,
14/06/2023 18:16:30,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Guará,Guará <-> Gama,5,Diariamente,Estudo,Ônibus,Tempo de espera,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,3,4,5,5,Não,Alguns ônibus como o 322.1 não aparecem a localização em tempo real e isso atrapalha muito a rota.
14/06/2023 18:18:00,Concordo.,Entre 19 e 22 anos,Masculino,Superior Incompleto,Engenharias,Não resido no Distrito Federal,Ocidental-> Gama,5,Diariamente,Trabalho,Ônibus,Horários de transporte,Sim,Sim,Talvez,Sim,Sim,Sim,Talvez,Sim,Não,Não,Sim,Sim,Não,Não,Talvez,5,4,4,3,Não,
